"Gene","GeneName"
"LOC551591","PREDICTED: carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1"
"LOC107965323","PREDICTED: uncharacterized protein LOC107965323"
"LOC551474","PREDICTED: tudor and KH domain-containing protein"
"LOC107965329","PREDICTED: uncharacterized protein LOC107965329"
"LOC413753","PREDICTED: uncharacterized protein LOC413753"
"LOC551857","PREDICTED: sepiapterin reductase"
"LOC100577425","PREDICTED: uncharacterized protein LOC100577425"
"LOC725500","PREDICTED: laccase-like"
"LOC551033","PREDICTED: poly(A)-specific ribonuclease PARN-like domain-containing protein 1"
"LOC411361","PREDICTED: uncharacterized protein LOC411361"
"LOC726060","PREDICTED: basigin"
"LOC724243","PREDICTED: fasciclin-3"
"LOC102655436","PREDICTED: uncharacterized protein LOC102655436"
"LOC725246","PREDICTED: uncharacterized protein LOC725246"
"LOC551490","PREDICTED: collagen alpha chain CG42342-like"
"LOC107965338","PREDICTED: synaptic vesicle glycoprotein 2C-like"
"LOC725498","PREDICTED: protein mesh-like"
"LOC107965339","PREDICTED: uncharacterized protein LOC107965339"
"LOC726722","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC726722"
"LOC726524","PREDICTED: LOW QUALITY PROTEIN: chromodomain-helicase-DNA-binding protein 7"
"LOC107965342","PREDICTED: uncharacterized protein LOC107965342, partial"
"LOC107965344","PREDICTED: uncharacterized protein LOC107965344"
"LOC726039","PREDICTED: uncharacterized protein LOC726039"
"LOC107965348","PREDICTED: uncharacterized protein LOC107965348"
"LOC100577202","PREDICTED: uncharacterized protein LOC100577202"
"LOC100578818","PREDICTED: amyloid beta A4 precursor protein-binding family B member 1-interacting protein"
"LOC410381","PREDICTED: popeye domain-containing protein 3-like"
"LOC107965354","PREDICTED: prenylated Rab acceptor protein 1"
"LOC724912","PREDICTED: LOW QUALITY PROTEIN: anoctamin-1-like"
"LOC413125","PREDICTED: LIM/homeobox protein Lhx9-like"
"LOC410362","PREDICTED: MOXD1 homolog 2"
"LOC107965359","PREDICTED: uncharacterized protein LOC107965359"
"LOC725885","PREDICTED: Krueppel-like factor 6"
"LOC413123","PREDICTED: uncharacterized protein LOC413123"
"LOC551869","PREDICTED: vitamin K-dependent gamma-carboxylase"
"LOC551115","PREDICTED: LOW QUALITY PROTEIN: microtubule-associated protein tau-like"
"LOC102654367","PREDICTED: uncharacterized protein LOC102654367"
"LOC552347","PREDICTED: E3 ubiquitin-protein ligase Hakai"
"LOC100577411","PREDICTED: uncharacterized protein LOC100577411"
"LOC107965361","PREDICTED: probable calcium-binding mitochondrial carrier CBG00135"
"LOC107965367","PREDICTED: uncharacterized protein LOC107965367"
"LOC724546","PREDICTED: sodium-coupled monocarboxylate transporter 1-like"
"LOC413223","PREDICTED: rapamycin-insensitive companion of mTOR"
"LOC409831","PREDICTED: proteasome subunit beta type-6"
"LOC552711","PREDICTED: LOW QUALITY PROTEIN: anoctamin-4"
"LOC552718","PREDICTED: LOW QUALITY PROTEIN: protein son of sevenless"
"LOC727561","PREDICTED: importin subunit alpha"
"LOC725197","PREDICTED: protein penguin"
"LOC102654078","PREDICTED: uncharacterized protein LOC102654078"
"LOC107965368","PREDICTED: LOW QUALITY PROTEIN: basic-leucine zipper transcription factor A-like"
"LOC412157","PREDICTED: LOW QUALITY PROTEIN: HEAT repeat-containing protein 5B"
"LOC409342","PREDICTED: ADP-ribosylation factor-related protein 1"
"LOC724911","PREDICTED: odorant receptor 13a-like"
"LOC102654183","PREDICTED: odorant receptor 67c-like"
"LOC552001","PREDICTED: UDP-galactose translocator"
"LOC102656838","PREDICTED: odorant receptor Or2-like"
"LOC100576940","PREDICTED: odorant receptor 4-like"
"LOC100577062","PREDICTED: odorant receptor 4-like"
"LOC102653767","PREDICTED: odorant receptor Or2-like"
"LOC724958","PREDICTED: LOW QUALITY PROTEIN: odorant receptor 13a-like"
"LOC409527","PREDICTED: TBC domain-containing protein kinase-like protein"
"LOC409285","PREDICTED: myosin heavy chain 95F"
"LOC412260","PREDICTED: LOW QUALITY PROTEIN: serine/threonine-protein kinase SIK3-like"
"LOC107965378","PREDICTED: uncharacterized protein LOC107965378"
"LOC100578473","PREDICTED: protein FAM177A1"
"LOC724455","PREDICTED: T-complex protein 11-like protein 1"
"LOC410042","PREDICTED: glyoxylate reductase/hydroxypyruvate reductase-like"
"LOC727452","PREDICTED: sorting nexin-6"
"LOC409579","PREDICTED: Fanconi anemia group M protein"
"LOC408384","PREDICTED: transcriptional adapter 2-alpha"
"LOC410148","PREDICTED: carboxypeptidase Q-like"
"LOC552317","PREDICTED: ATP-dependent DNA helicase Q5"
"LOC412797","PREDICTED: facilitated trehalose transporter Tret1-like"
"LOC551248","PREDICTED: tetraspanin-31-A"
"LOC100576373","PREDICTED: chloride channel CLIC-like protein 1"
"LOC726348","PREDICTED: LOW QUALITY PROTEIN: peroxisomal biogenesis factor 6, partial"
"LOC726667","PREDICTED: armadillo repeat-containing protein 8-like"
"LOC551976","PREDICTED: calcium-binding mitochondrial carrier protein SCaMC-2"
"LOC551392","PREDICTED: U11/U12 small nuclear ribonucleoprotein 48 kDa protein-like, partial"
"LOC102654448","PREDICTED: LOW QUALITY PROTEIN: endochitinase A-like"
"LOC107965397","PREDICTED: uncharacterized protein LOC107965397"
"LOC410413","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC410413"
"LOC107965398","PREDICTED: U1 small nuclear ribonucleoprotein 70 kDa-like"
"LOC726434","PREDICTED: LOW QUALITY PROTEIN: DC-STAMP domain-containing protein 2-like"
"LOC100576248","PREDICTED: uncharacterized protein LOC100576248"
"LOC726352","PREDICTED: transmembrane protease serine 11B-like protein"
"LOC725619","PREDICTED: uncharacterized protein LOC725619"
"LOC724899","PREDICTED: uncharacterized protein LOC724899"
"LOC413550","PREDICTED: neuropeptide CCHamide-2 receptor-like"
"LOC551249","PREDICTED: uncharacterized protein LOC551249"
"LOC725003","PREDICTED: LOW QUALITY PROTEIN: protein sister of odd and bowel"
"LOC107965399","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107965399"
"LOC724120","PREDICTED: homeobox protein orthopedia"
"LOC724946","PREDICTED: cytochrome P450 6a2"
"LOC726690","PREDICTED: uncharacterized protein LOC726690"
"LOC100576231","PREDICTED: uncharacterized protein LOC100576231"
"LOC551028","PREDICTED: probable cytochrome P450 6a14"
"LOC725087","PREDICTED: probable cytochrome P450 6a14"
"LOC102653604","PREDICTED: adenylate kinase 9-like"
"LOC726852","PREDICTED: cytochrome b5 domain-containing protein 1"
"LOC102654049","PREDICTED: putative gustatory receptor 28a"
"LOC408408","PREDICTED: uncharacterized protein LOC408408"
"LOC102654168","PREDICTED: leucine-rich repeat-containing protein 71-like"
"LOC102656393","PREDICTED: uncharacterized protein LOC102656393"
"LOC726541","PREDICTED: protein phosphatase 1 regulatory subunit 12A"
"LOC408430","PREDICTED: voltage-dependent L-type calcium channel subunit beta-4"
"LOC100578263","PREDICTED: uncharacterized protein LOC100578263"
"LOC410414","PREDICTED: 116 kDa U5 small nuclear ribonucleoprotein component"
"LOC410448","PREDICTED: carcinine transporter"
"LOC107965412","PREDICTED: uncharacterized protein LOC107965412"
"LOC107965415","PREDICTED: uncharacterized protein LOC107965415"
"LOC726329","PREDICTED: lectizyme"
"LOC408428","PREDICTED: peptidyl-prolyl cis-trans isomerase A2-like"
"LOC551739","PREDICTED: DNA primase large subunit"
"LOC100577521","PREDICTED: uncharacterized protein LOC100577521"
"LOC724592","PREDICTED: uncharacterized protein LOC724592"
"LOC408420","PREDICTED: serine-rich adhesin for platelets"
"LOC726759","PREDICTED: partitioning defective 3 homolog"
"LOC107965423","PREDICTED: uncharacterized protein LOC107965423"
"LOC102654503","PREDICTED: uncharacterized protein LOC102654503"
"LOC726456","PREDICTED: unconventional myosin-Va"
"LOC726597","PREDICTED: zinc finger protein 729"
"LOC725159","PREDICTED: probable cytochrome P450 6a14"
"LOC410465","PREDICTED: UNC93-like protein"
"LOC102655449","PREDICTED: uncharacterized protein LOC102655449"
"LOC413596","PREDICTED: receptor-type guanylate cyclase gcy-4"
"LOC725421","PREDICTED: SET and MYND domain-containing protein 4-like"
"LOC551272","PREDICTED: talin-1"
"LOC100578685","PREDICTED: odorant receptor 94b-like"
"LOC100578617","PREDICTED: odorant receptor 2a-like"
"LOC102656701","PREDICTED: odorant receptor 94a-like"
"LOC552096","PREDICTED: cytosolic carboxypeptidase 6"
"LOC107965436","PREDICTED: uncharacterized protein LOC107965436"
"LOC107965439","PREDICTED: uncharacterized protein LOC107965439"
"LOC411396","PREDICTED: endothelin-converting enzyme 1"
"LOC100577367","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100577367"
"LOC410416","PREDICTED: 1-phosphatidylinositol 3-phosphate 5-kinase-like"
"LOC102653890","PREDICTED: DNA ligase 1-like"
"LOC100577428","PREDICTED: uncharacterized protein LOC100577428"
"LOC102653848","PREDICTED: uncharacterized protein LOC102653848"
"LOC107965441","PREDICTED: uncharacterized protein LOC107965441"
"LOC107965443","PREDICTED: uncharacterized protein LOC107965443"
"LOC725354","PREDICTED: uncharacterized protein LOC725354"
"LOC102655978","PREDICTED: autophagy-related protein 23-like"
"LOC100576722","PREDICTED: uncharacterized protein LOC100576722"
"LOC107965449","PREDICTED: ras-related protein RabJ-like"
"LOC413881","PREDICTED: AP-3 complex subunit sigma-2"
"LOC552678","PREDICTED: enolase"
"LOC726598","PREDICTED: putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16"
"LOC107963985","PREDICTED: fumarylacetoacetase"
"LOC552210","PREDICTED: fumarylacetoacetase"
"LOC725457","PREDICTED: sodium channel protein Nach"
"LOC100579038","PREDICTED: LOW QUALITY PROTEIN: succinate dehydrogenase assembly factor 3, mitochondrial"
"LOC100577515","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100577515"
"LOC725111","PREDICTED: protein argonaute-3"
"LOC100576819","PREDICTED: caspase Dronc"
"LOC100578511","PREDICTED: uncharacterized protein LOC100578511"
"LOC107965457","PREDICTED: uncharacterized protein LOC107965457"
"LOC100578423","PREDICTED: uncharacterized protein LOC100578423"
"LOC551356","PREDICTED: nesprin-1"
"LOC411779","PREDICTED: testis-specific serine/threonine-protein kinase 3-like"
"LOC100576734","PREDICTED: odorant receptor 13a-like"
"LOC107965470","PREDICTED: uncharacterized protein LOC107965470, partial"
"LOC100577849","PREDICTED: uncharacterized protein LOC100577849"
"LOC100577739","PREDICTED: LOW QUALITY PROTEIN: telomere-associated protein RIF1-like"
"LOC724593","PREDICTED: transcriptional regulator ATRX homolog"
"LOC725621","PREDICTED: uncharacterized protein LOC725621"
"LOC102653795","PREDICTED: neuropeptide Y receptor type 1"
"LOC100578998","PREDICTED: ciliogenesis-associated TTC17-interacting protein-like"
"LOC107963972","PREDICTED: uncharacterized protein LOC107963972"
"LOC726493","PREDICTED: uncharacterized protein LOC726493"
"LOC100576265","PREDICTED: centrosomal protein of 112 kDa-like"
"LOC102656615","PREDICTED: odorant receptor Or2-like"
"LOC725754","PREDICTED: uncharacterized protein LOC725754"
"LOC725467","PREDICTED: cullin-2"
"LOC107965473","PREDICTED: uncharacterized protein LOC107965473"
"LOC408467","PREDICTED: chloride channel protein 2"
"LOC102654681","PREDICTED: mitochondrial inner membrane protease subunit 2"
"LOC410521","PREDICTED: carotenoid isomerooxygenase"
"LOC551469","PREDICTED: tetratricopeptide repeat protein 25"
"LOC408462","PREDICTED: uncharacterized protein LOC408462"
"LOC107964012","PREDICTED: nucleolar protein 58-like"
"LOC102656485","PREDICTED: oxidoreductase-like domain-containing protein 1"
"LOC107965480","PREDICTED: homeobox protein engrailed-2-B-like"
"LOC107965481","PREDICTED: uncharacterized protein LOC107965481"
"LOC107965485","PREDICTED: uncharacterized protein LOC107965485"
"LOC107963969","PREDICTED: uncharacterized protein LOC107963969"
"LOC102653936","PREDICTED: uncharacterized protein LOC102653936"
"LOC724594","PREDICTED: ADP-ribosylation factor-like protein 4C"
"LOC100576128","PREDICTED: cilia- and flagella-associated protein 100-like"
"LOC410514","PREDICTED: uncharacterized protein LOC410514"
"LOC726600","PREDICTED: intraflagellar transport protein 56"
"LOC107964014","PREDICTED: uncharacterized protein LOC107964014"
"LOC410483","PREDICTED: B9 domain-containing protein 1-like"
"LOC102656613","PREDICTED: uncharacterized protein LOC102656613"
"LOC107965488","PREDICTED: uncharacterized protein LOC107965488"
"LOC726347","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC726347"
"LOC107963986","PREDICTED: centrosomal protein of 162 kDa-like"
"LOC107965493","PREDICTED: titin homolog"
"LOC726997","PREDICTED: MOXD1 homolog 1"
"LOC726979","PREDICTED: uncharacterized protein LOC726979"
"LOC107965494","PREDICTED: uncharacterized protein LOC107965494"
"LOC726647","PREDICTED: uncharacterized protein LOC726647"
"LOC100577430","PREDICTED: uncharacterized protein LOC100577430"
"LOC724804","PREDICTED: dymeclin"
"LOC727254","PREDICTED: mitochondrial cardiolipin hydrolase"
"LOC410477","PREDICTED: dynein intermediate chain 3, ciliary-like"
"LOC551708","PREDICTED: vacuolar protein sorting-associated protein 41 homolog"
"LOC413909","PREDICTED: tyrosine--tRNA ligase, cytoplasmic"
"LOC551740","PREDICTED: non-structural maintenance of chromosome element 4"
"LOC102656402","PREDICTED: lachesin-like"
"LOC100578515","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100578515"
"LOC724159","PREDICTED: histone acetyltransferase KAT6B"
"LOC107965500","PREDICTED: uncharacterized protein LOC107965500"
"LOC100576688","PREDICTED: histone H1, gonadal-like"
"LOC107965501","PREDICTED: LIM domain-containing protein A-like"
"LOC410545","PREDICTED: CLIP-associating protein 1-A"
"LOC726928","PREDICTED: atrophin-1-like"
"LOC412926","PREDICTED: dipeptidase 1-like"
"LOC100579005","PREDICTED: uncharacterized protein LOC100579005"
"LOC107965508","PREDICTED: tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4"
"LOC100577030","PREDICTED: G-protein coupled receptor 54-like"
"LOC408457","PREDICTED: protein LSM12 homolog A-like"
"LOC100577065","PREDICTED: uncharacterized protein LOC100577065"
"LOC100578862","PREDICTED: dynein assembly factor 1, axonemal homolog"
"LOC410495","PREDICTED: cytochrome P450 307a1"
"LOC551704","PREDICTED: glutamate receptor ionotropic, delta-2-like"
"LOC726918","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC726918"
"LOC107965518","PREDICTED: uncharacterized protein LOC107965518"
"LOC412748","PREDICTED: ATP-binding cassette sub-family G member 1"
"LOC107965521","PREDICTED: uncharacterized protein LOC107965521"
"LOC726392","PREDICTED: sodium-independent sulfate anion transporter"
"LOC551651","PREDICTED: ferritin subunit"
"LOC551709","PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
"LOC100577533","PREDICTED: uncharacterized protein LOC100577533"
"LOC410498","PREDICTED: potassium voltage-gated channel subfamily H member 2"
"LOC107965526","PREDICTED: uncharacterized protein LOC107965526"
"LOC100578184","PREDICTED: uncharacterized protein LOC100578184"
"LOC727235","PREDICTED: protein enabled"
"LOC411617","PREDICTED: inactive rhomboid protein 1"
"LOC412007","PREDICTED: facilitated trehalose transporter Tret1-like"
"LOC413525","PREDICTED: vacuolar protein sorting-associated protein 18 homolog"
"LOC724157","PREDICTED: uncharacterized protein LOC724157"
"LOC727313","PREDICTED: uncharacterized protein LOC727313"
"LOC107965528","PREDICTED: uncharacterized protein LOC107965528"
"LOC408447","PREDICTED: neurotactin"
"LOC410486","PREDICTED: 40S ribosomal protein SA"
"LOC550801","PREDICTED: ATP-dependent RNA helicase dbp2-like"
"LOC107965531","PREDICTED: uncharacterized protein LOC107965531"
"LOC107965532","PREDICTED: uncharacterized protein LOC107965532"
"LOC725179","PREDICTED: inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2"
"LOC107965534","PREDICTED: protein Fer3-like"
"LOC100576996","PREDICTED: uncharacterized protein LOC100576996"
"LOC409711","PREDICTED: kazrin"
"LOC726227","PREDICTED: DNA primase small subunit"
"LOC100576374","PREDICTED: LOW QUALITY PROTEIN: protein MMS22-like"
"LOC100578271","PREDICTED: uncharacterized protein LOC100578271"
"LOC409202","PREDICTED: 40S ribosomal protein S9"
"LOC409429","PREDICTED: LOW QUALITY PROTEIN: meiosis arrest female protein 1"
"LOC552373","PREDICTED: dolichyldiphosphatase 1-like"
"LOC412941","PREDICTED: synaptic vesicle glycoprotein 2B-like"
"LOC409300","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC409300"
"LOC100578935","PREDICTED: IQ domain-containing protein K-like"
"LOC409936","PREDICTED: zinc finger and BTB domain-containing protein 34-like"
"LOC100578931","PREDICTED: LOW QUALITY PROTEIN: activating signal cointegrator 1 complex subunit 2"
"LOC725292","PREDICTED: homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein"
"LOC412074","PREDICTED: probable cation-transporting ATPase 13A3"
"LOC413500","PREDICTED: protein Wnt-10b"
"LOC408456","PREDICTED: facilitated trehalose transporter Tret1-2 homolog"
"LOC100577784","PREDICTED: fanconi-associated nuclease 1-like"
"LOC100579054","PREDICTED: uncharacterized protein LOC100579054"
"LOC413501","PREDICTED: protein Wnt-6"
"LOC410559","PREDICTED: tubulin beta chain-like"
"LOC411920","PREDICTED: ubiquitin carboxyl-terminal hydrolase 22"
"LOC100576591","PREDICTED: LOW QUALITY PROTEIN: putative uncharacterized protein DDB_G0277255"
"LOC102653748","PREDICTED: growth/differentiation factor 8-like"
"LOC107965547","PREDICTED: uncharacterized protein LOC107965547"
"LOC727272","PREDICTED: zinc finger CCCH domain-containing protein 3"
"LOC102653879","PREDICTED: homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein"
"LOC100576082","PREDICTED: uncharacterized protein LOC100576082, partial"
"LOC552477","PREDICTED: dipeptidyl aminopeptidase-like protein 6"
"LOC102656037","PREDICTED: salivary glue protein Sgs-3-like"
"LOC411839","PREDICTED: telomerase Cajal body protein 1"
"LOC100576136","PREDICTED: zinc finger BED domain-containing protein 1-like"
"LOC412954","PREDICTED: protein KTI12 homolog"
"LOC100576990","PREDICTED: condensin complex subunit 2-like"
"LOC100576918","PREDICTED: uncharacterized protein LOC100576918"
"LOC552644","PREDICTED: lipoyl synthase, mitochondrial"
"LOC412436","PREDICTED: protein CASC1"
"LOC411467","PREDICTED: sperm-associated antigen 1"
"LOC411466","PREDICTED: histone-lysine N-methyltransferase 2C"
"LOC100577836","PREDICTED: uncharacterized protein LOC100577836"
"LOC727228","PREDICTED: LOW QUALITY PROTEIN: conserved oligomeric Golgi complex subunit 1"
"LOC102654768","PREDICTED: uncharacterized protein LOC102654768"
"LOC724647","PREDICTED: uncharacterized protein LOC724647"
"LOC724732","PREDICTED: zinc finger protein DZIP1"
"LOC726228","PREDICTED: uncharacterized protein LOC726228"
"LOC726278","PREDICTED: vesicular acetylcholine transporter-like"
"LOC726416","PREDICTED: coiled-coil domain-containing protein 186"
"LOC724806","PREDICTED: dynein heavy chain 8, axonemal"
"LOC725005","PREDICTED: uncharacterized protein LOC725005"
"LOC107965557","PREDICTED: uncharacterized protein LOC107965557"
"LOC100576592","PREDICTED: uncharacterized protein LOC100576592"
"LOC100576740","PREDICTED: uncharacterized protein LOC100576740"
"LOC725736","PREDICTED: probable oligoribonuclease"
"LOC102655879","PREDICTED: kinesin-II 85 kDa subunit-like"
"LOC100576855","PREDICTED: uncharacterized protein LOC100576855"
"LOC100578045","PREDICTED: uncharacterized protein LOC100578045"
"LOC725250","PREDICTED: LOW QUALITY PROTEIN: transmembrane protease serine 11G-like"
"LOC102656222","PREDICTED: LOW QUALITY PROTEIN: putative uncharacterized transmembrane protein DDB_G0288661"
"LOC107965561","PREDICTED: carbonic anhydrase 2-like"
"LOC100576115","PREDICTED: carbonic anhydrase 2-like"
"LOC102656554","PREDICTED: LOW QUALITY PROTEIN: NADH-ubiquinone oxidoreductase chain 5-like, partial"
"LOC725088","PREDICTED: eIF-2-alpha kinase GCN2"
"LOC724636","PREDICTED: uncharacterized protein LOC724636"
"LOC724595","PREDICTED: headcase protein"
"LOC408534","PREDICTED: trypsin"
"LOC107965562","PREDICTED: muscle-specific protein 20-like"
"LOC100577028","PREDICTED: uncharacterized protein LOC100577028"
"LOC107965563","PREDICTED: uncharacterized protein LOC107965563"
"LOC107965564","PREDICTED: mucin-6-like"
"LOC551562","PREDICTED: dynein beta chain, ciliary"
"LOC102654175","PREDICTED: uncharacterized protein LOC102654175"
"LOC552836","PREDICTED: uncharacterized protein LOC552836"
"LOC410603","PREDICTED: odorant receptor 2a-like"
"LOC107963999","PREDICTED: odorant receptor Or2-like"
"LOC107965576","PREDICTED: uncharacterized protein LOC107965576"
"LOC725812","PREDICTED: uncharacterized protein LOC725812"
"LOC409501","PREDICTED: SWI/SNF complex subunit SMARCC1-like"
"LOC410582","PREDICTED: ornithine aminotransferase, mitochondrial-like"
"LOC107965571","PREDICTED: uncharacterized protein LOC107965571, partial"
"LOC725824","PREDICTED: methyltransferase-like protein 25"
"LOC107965577","PREDICTED: uncharacterized protein LOC107965577"
"LOC552818","PREDICTED: wolframin"
"LOC724733","PREDICTED: methionine--tRNA ligase, mitochondrial"
"LOC100577656","PREDICTED: uncharacterized protein LOC100577656"
"LOC410626","PREDICTED: sodium-coupled monocarboxylate transporter 1"
"LOC410606","PREDICTED: protein Skeletor, isoforms B/C"
"LOC107965586","PREDICTED: uncharacterized protein LOC107965586"
"LOC410761","PREDICTED: uncharacterized protein LOC410761"
"LOC100578968","PREDICTED: probable serine/threonine-protein kinase dyrk1"
"LOC409667","PREDICTED: uncharacterized protein LOC409667"
"LOC725890","PREDICTED: uncharacterized protein LOC725890"
"LOC724865","PREDICTED: ABC transporter G family member 20-like"
"LOC410589","PREDICTED: semaphorin-5A"
"LOC102654111","PREDICTED: platelet glycoprotein V-like"
"LOC102653771","PREDICTED: tRNA (guanine(37)-N1)-methyltransferase-like"
"LOC102656354","PREDICTED: uncharacterized protein LOC102656354"
"LOC726250","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC726250"
"LOC107965597","PREDICTED: uncharacterized protein C12orf73 homolog"
"LOC410609","PREDICTED: disintegrin and metalloproteinase domain-containing protein 10-like"
"LOC726698","PREDICTED: serine protease snake"
"LOC102654652","PREDICTED: uncharacterized protein LOC102654652"
"LOC100576747","PREDICTED: LOW QUALITY PROTEIN: maternal protein tudor, partial"
"LOC412203","PREDICTED: protein brown"
"LOC409090","PREDICTED: uncharacterized protein LOC409090"
"LOC552757","PREDICTED: probable peroxisomal acyl-coenzyme A oxidase 1"
"LOC725394","PREDICTED: LOW QUALITY PROTEIN: prestin-like"
"LOC100577909","PREDICTED: high mobility group protein I"
"LOC552795","PREDICTED: cholinephosphotransferase 1-like"
"LOC551908","PREDICTED: uncharacterized protein LOC551908"
"LOC412503","PREDICTED: mitochondrial dicarboxylate carrier-like"
"LOC411646","PREDICTED: protein Gawky"
"LOC102653956","PREDICTED: anaphase-promoting complex subunit 13"
"LOC725505","PREDICTED: tetraspanin-33"
"LOC107965601","PREDICTED: uncharacterized protein LOC107965601"
"LOC100576708","PREDICTED: uncharacterized protein LOC100576708"
"LOC410612","PREDICTED: solute carrier family 25 member 44"
"LOC412163","PREDICTED: aldose reductase-like"
"LOC551770","PREDICTED: cytosolic purine 5'-nucleotidase"
"LOC724208","PREDICTED: venom protease-like"
"LOC724295","PREDICTED: protein phosphatase 1 regulatory subunit 3C-B"
"LOC409109","PREDICTED: mycosubtilin synthase subunit C"
"LOC100577912","PREDICTED: uncharacterized protein C15orf61 homolog"
"LOC726720","PREDICTED: U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein"
"LOC726651","PREDICTED: Fanconi anemia group I protein"
"LOC102655243","PREDICTED: uncharacterized protein LOC102655243"
"LOC726067","PREDICTED: Hermansky-Pudlak syndrome 1 protein homolog"
"LOC552558","PREDICTED: uncharacterized protein LOC552558"
"LOC107965608","PREDICTED: uncharacterized protein LOC107965608"
"LOC410769","PREDICTED: puromycin-sensitive aminopeptidase"
"LOC102656423","PREDICTED: glutathione S-transferase D1-like"
"LOC107965609","PREDICTED: uncharacterized protein LOC107965609"
"LOC102656383","PREDICTED: glutathione S-transferase 3-like"
"LOC100578286","PREDICTED: flavin-containing monooxygenase FMO GS-OX-like 2"
"LOC102656186","PREDICTED: trypsin-5"
"LOC552435","PREDICTED: ER degradation-enhancing alpha-mannosidase-like protein 3"
"LOC552553","PREDICTED: huntingtin-interacting protein K"
"LOC411958","PREDICTED: uncharacterized protein LOC411958"
"LOC726466","PREDICTED: uncharacterized protein LOC726466"
"LOC107965618","PREDICTED: pollen-specific leucine-rich repeat extensin-like protein 2"
"LOC551328","PREDICTED: E3 ubiquitin-protein ligase RNF19A"
"LOC410617","PREDICTED: cytochrome c oxidase assembly protein COX15 homolog"
"LOC102656397","PREDICTED: MORN repeat-containing protein 5"
"LOC100577640","PREDICTED: uncharacterized protein LOC100577640"
"LOC552784","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC552784"
"LOC552479","PREDICTED: multiple epidermal growth factor-like domains protein 10"
"LOC102655882","PREDICTED: ES1 protein homolog, mitochondrial-like"
"LOC727622","PREDICTED: probable aspartate aminotransferase, cytoplasmic"
"LOC551036","PREDICTED: vacuole membrane protein 1"
"LOC551902","PREDICTED: metaxin-1"
"LOC552634","PREDICTED: zinc transporter 1"
"LOC100578894","PREDICTED: isoaspartyl peptidase/L-asparaginase-like"
"LOC409180","PREDICTED: LOW QUALITY PROTEIN: 4-hydroxybutyrate coenzyme A transferase-like"
"LOC102653576","PREDICTED: E3 ubiquitin-protein ligase RFWD2-like"
"LOC552109","PREDICTED: cytosol aminopeptidase-like"
"LOC107965626","PREDICTED: uncharacterized protein LOC107965626"
"LOC107965627","PREDICTED: uncharacterized protein LOC107965627"
"LOC724251","PREDICTED: alpha-sarcoglycan"
"LOC726435","PREDICTED: signal recognition particle subunit SRP72"
"LOC107965629","PREDICTED: uncharacterized protein LOC107965629"
"LOC107965628","PREDICTED: uncharacterized protein LOC107965628"
"LOC107965630","PREDICTED: titin-like"
"LOC102655762","PREDICTED: LOW QUALITY PROTEIN: proline-rich protein 4-like"
"LOC100576958","PREDICTED: WD repeat-containing protein 81"
"LOC724965","PREDICTED: dnaJ homolog subfamily C member 5"
"LOC725248","PREDICTED: LOW QUALITY PROTEIN: dedicator of cytokinesis protein 1"
"LOC411849","PREDICTED: probable sulfite oxidase, mitochondrial"
"LOC409355","PREDICTED: glutaredoxin 3"
"LOC412489","PREDICTED: protein RFT1 homolog"
"LOC409440","PREDICTED: UPF0668 protein C10orf76 homolog"
"LOC411901","PREDICTED: DDB1- and CUL4-associated factor 7"
"LOC726825","PREDICTED: homeobox protein HMX2-like"
"LOC552750","PREDICTED: X-ray repair cross-complementing protein 5-like"
"LOC724916","PREDICTED: uncharacterized protein LOC724916"
"LOC100578369","PREDICTED: poly(U)-binding-splicing factor half pint-like"
"LOC726566","PREDICTED: WD repeat-containing protein 60"
"LOC102656029","PREDICTED: uncharacterized protein LOC102656029, partial"
"LOC100577769","PREDICTED: uncharacterized protein LOC100577769"
"LOC100576779","PREDICTED: uncharacterized protein LOC100576779"
"LOC107965656","PREDICTED: probable serine/threonine-protein kinase dyrk1"
"LOC413532","PREDICTED: LOW QUALITY PROTEIN: exosome component 10"
"LOC100576590","PREDICTED: cilia- and flagella-associated protein 69-like"
"LOC107965657","PREDICTED: putative uncharacterized protein DDB_G0284695, partial"
"LOC725469","PREDICTED: kinesin-related protein 4"
"LOC725662","PREDICTED: uncharacterized protein LOC725662"
